source_location,rack_type,volume,PR_to_EO_sla_range_80,PR_to_EO_accuracy_80,PR_to_EO_sla_range_90,PR_to_EO_accuracy_90,PR_to_EO_default_sla,PR_to_EO_default_accuracy,PR_to_EO_avg_deviation,EO_to_PO_sla_range_80,EO_to_PO_accuracy_80,EO_to_PO_sla_range_90,EO_to_PO_accuracy_90,EO_to_PO_default_sla,EO_to_PO_default_accuracy,EO_to_PO_avg_deviation,PO_to_Ready_sla_range_80,PO_to_Ready_accuracy_80,PO_to_Ready_sla_range_90,PO_to_Ready_accuracy_90,PO_to_Ready_default_sla,PO_to_Ready_default_accuracy,PO_to_Ready_avg_deviation,Ready_to_Picked_sla_range_80,Ready_to_Picked_accuracy_80,Ready_to_Picked_sla_range_90,Ready_to_Picked_accuracy_90,Ready_to_Picked_default_sla,Ready_to_Picked_default_accuracy,Ready_to_Picked_avg_deviation,Picked_to_Delivered_sla_range_80,Picked_to_Delivered_accuracy_80,Picked_to_Delivered_sla_range_90,Picked_to_Delivered_accuracy_90,Picked_to_Delivered_default_sla,Picked_to_Delivered_default_accuracy,Picked_to_Delivered_avg_deviation,Delivered_to_Handoff_sla_range_80,Delivered_to_Handoff_accuracy_80,Delivered_to_Handoff_sla_range_90,Delivered_to_Handoff_accuracy_90,Delivered_to_Handoff_default_sla,Delivered_to_Handoff_default_accuracy,Delivered_to_Handoff_avg_deviation
SYN-BHX,NW.TIGRIS-CELESTICA-LINE-6.4T-4X100G-1.0,49,"(0, 0)",0.0,"(0, 0)",0.0,80,2.0408163265306123,69.41724586144646,"(0, 0.0)",97.95918367346938,"(0, 0.0)",97.95918367346938,0,100.0,0.2857142857142857,"(0, 0)",0.0,"(0, 0)",0.0,26,4.081632653061225,15.932197608456928,"(0, 0)",0.0,"(0, 0)",0.0,1,59.183673469387756,2.611164839335468,"(0, 0)",0.0,"(0, 0)",0.0,57,0.0,85.41919804083503,"(0, 0)",0.0,"(0, 0)",0.0,40,0.0,76.63270469304491
SYN-BHX,NW.TIGRIS-CELESTICA-LINE-EMPTY,9,"(0, 27.0)",88.88888888888889,"(0, 101.0)",100.0,18,0.0,32.94228960537571,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(5.0, 43.0)",88.88888888888889,"(5.0, 58.0)",100.0,32,0.0,16.484841521834536,"(0, 4.0)",88.88888888888889,"(0, 0)",0.0,1,77.77777777777779,1.4880476182856899,"(0, 0)",0.0,"(0, 0)",0.0,10,0.0,3.7815340802378077,"(0, 0)",0.0,"(0, 0)",0.0,16,11.11111111111111,
SYN-BHX,NW.TIGRISV2_EXP_8TXP_0SLEDS,7,"(18.0, 61.0)",100.0,"(18.0, 61.0)",100.0,38,0.0,20.24728082860464,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(0, 0)",0.0,"(0, 0)",0.0,40,14.285714285714285,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
SYN-BHX,NW.UMN-NG_PROD_EVEN,26,"(0, 0)",0.0,"(0, 0)",0.0,27,3.8461538461538463,27.421466811701798,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(0, 0)",0.0,"(0, 0)",0.0,13,3.8461538461538463,15.037963654604068,"(0, 0)",0.0,"(0, 0)",0.0,1,57.692307692307686,3.9994791327538306,"(0, 0)",0.0,"(0, 0)",0.0,19,7.6923076923076925,13.043811775743531,"(0, 0)",0.0,"(0, 0)",0.0,0,7.6923076923076925,0.0
SYN-BHX,NW.UMN-NG_PROD_ODD,20,"(0, 78.0)",80.0,"(0, 0)",0.0,25,0.0,21.484005678643822,"(0, 0.0)",90.0,"(0, 0.0)",90.0,0,100.0,0.30779350562554625,"(0, 39.0)",80.0,"(0, 0)",0.0,18,0.0,16.350706046996688,"(0, 27.0)",80.0,"(0, 0)",0.0,2,75.0,6.711929677819934,"(0, 0)",0.0,"(0, 0)",0.0,17,0.0,14.568142271091713,"(0, 0)",0.0,"(0, 0)",0.0,3,0.0,5.32290647422377
SYN-BHX,ONEFABRIC-AGG-12.8T-16W-BR,69,"(0, 68.0)",81.15942028985508,"(0, 0)",0.0,19,5.797101449275362,22.504640914129826,"(0, 0.0)",89.85507246376811,"(0, 4.0)",91.30434782608695,0,89.85507246376811,3.235697099602357,"(0, 25.0)",81.15942028985508,"(0, 0)",0.0,17,33.33333333333333,10.527858336974601,"(0, 27.0)",81.15942028985508,"(0, 0)",0.0,1,76.81159420289855,6.293769047403563,"(0, 35.0)",81.15942028985508,"(0, 0)",0.0,12,15.942028985507244,10.098607920915919,"(0, 0)",0.0,"(0, 0)",0.0,0,20.28985507246377,1.0307764064044151
SYN-BHX,ONEFABRIC-AGG-12.8T-8W-BR,125,"(0, 123.0)",80.0,"(0, 0)",0.0,26,12.8,32.08815209622541,"(0, 0.0)",97.6,"(0, 0.0)",97.6,0,100.0,0.21761166951631392,"(0, 48.0)",80.0,"(0, 0)",0.0,23,12.0,15.316525948780177,"(0, 0)",0.0,"(0, 0)",0.0,0,60.8,1.4067737364903472,"(0, 0)",0.0,"(0, 0)",0.0,16,8.0,14.390786526180745,"(0, 0)",0.0,"(0, 0)",0.0,6,3.2,8.661405372105788
SYN-BHX,ONEFABRIC-CORE-12.8T-8W-BR,23,"(2.0, 39.0)",82.6086956521739,"(0, 0)",0.0,14,21.73913043478261,11.883092810242715,"(0, 0.0)",95.65217391304348,"(0, 0.0)",95.65217391304348,0,95.65217391304348,0.6255432421712241,"(11.0, 50.0)",82.6086956521739,"(0, 0)",0.0,27,8.695652173913043,10.376536735341086,"(0, 0)",0.0,"(0, 0)",0.0,4,0.0,13.366001645967279,"(0, 0)",0.0,"(0, 0)",0.0,24,17.391304347826086,17.761381327663305,"(0, 0)",0.0,"(0, 0)",0.0,0,4.3478260869565215,
SYN-BHX,ONEFABRIC-SP-12.8T-16W-BASE_FULL,52,"(0, 0)",0.0,"(0, 0)",0.0,14,42.30769230769231,5.558177159225255,"(0, 0.0)",94.23076923076923,"(0, 0.0)",94.23076923076923,0,94.23076923076923,0.7063064336961281,"(7.0, 51.0)",80.76923076923077,"(0, 0)",0.0,29,9.615384615384617,21.576378209012685,"(0, 0)",0.0,"(0, 0)",0.0,2,44.230769230769226,5.756912840624344,"(0, 0)",0.0,"(0, 0)",0.0,55,1.9230769230769231,20.470183416152118,"(0, 0)",0.0,"(0, 0)",0.0,0,3.8461538461538463,0.0
SYN-BHX,ONEFABRIC-SP-12.8T-8W-BASE_FULL,63,"(0, 38.0)",80.95238095238095,"(0, 0)",0.0,22,6.349206349206349,12.636643787579754,"(0, 0.0)",96.82539682539682,"(0, 0.0)",96.82539682539682,0,96.82539682539682,0.5301942953139068,"(2.0, 27.0)",80.95238095238095,"(0, 0)",0.0,14,33.33333333333333,7.3054843505764,"(0, 0)",0.0,"(0, 0)",0.0,1,68.25396825396825,6.014460688518744,"(0, 0)",0.0,"(0, 0)",0.0,21,9.523809523809524,5.836468779672513,"(0, 0)",0.0,"(0, 0)",0.0,2,15.873015873015872,4.96350316171589
